signal_date,execution_date,symbol,weight
2018-04-30,2018-05-01,CF,0.025
2018-04-30,2018-05-01,CNC,0.025
2018-04-30,2018-05-01,AVY,0.025
2018-04-30,2018-05-01,ADBE,0.025
2018-04-30,2018-05-01,CBRE,0.025
2018-04-30,2018-05-01,CRM,0.025
2018-04-30,2018-05-01,DOV,0.025
2018-04-30,2018-05-01,BAC,0.025
2018-04-30,2018-05-01,ABT,0.025
2018-04-30,2018-05-01,ACN,0.025
2018-04-30,2018-05-01,BF-B,0.025
2018-04-30,2018-05-01,AME,0.025
2018-04-30,2018-05-01,A,0.025
2018-04-30,2018-05-01,DE,0.025
2018-04-30,2018-05-01,ALGN,0.025
2018-04-30,2018-05-01,AMZN,0.025
2018-04-30,2018-05-01,DG,0.025
2018-04-30,2018-05-01,CSCO,0.025
2018-04-30,2018-05-01,BLK,0.025
2018-04-30,2018-05-01,ADSK,0.025
2018-04-30,2018-05-01,APTV,0.025
2018-04-30,2018-05-01,APH,0.025
2018-04-30,2018-05-01,BBY,0.025
2018-04-30,2018-05-01,CAT,0.025
2018-04-30,2018-05-01,BA,0.025
2018-04-30,2018-05-01,CBOE,0.025
2018-04-30,2018-05-01,DHI,0.025
2018-04-30,2018-05-01,CTAS,0.025
2018-04-30,2018-05-01,CME,0.025
2018-04-30,2018-05-01,ABBV,0.025
2018-04-30,2018-05-01,CTSH,0.025
2018-04-30,2018-05-01,AMAT,0.025
2018-04-30,2018-05-01,CHRW,0.025
2018-04-30,2018-05-01,COP,0.025
2018-04-30,2018-05-01,AJG,0.025
2018-04-30,2018-05-01,DAL,0.025
2018-04-30,2018-05-01,ADI,0.025
2018-04-30,2018-05-01,COF,0.025
2018-04-30,2018-05-01,BRK-B,0.025
2018-04-30,2018-05-01,CCI,0.025
2018-05-31,2018-06-01,CF,0.025
2018-05-31,2018-06-01,CNC,0.025
2018-05-31,2018-06-01,AVY,0.025
2018-05-31,2018-06-01,ADBE,0.025
2018-05-31,2018-06-01,CRM,0.025
2018-05-31,2018-06-01,BAC,0.025
2018-05-31,2018-06-01,ABT,0.025
2018-05-31,2018-06-01,ACN,0.025
2018-05-31,2018-06-01,BF-B,0.025
2018-05-31,2018-06-01,AJG,0.025
2018-05-31,2018-06-01,ALGN,0.025
2018-05-31,2018-06-01,AMZN,0.025
2018-05-31,2018-06-01,DG,0.025
2018-05-31,2018-06-01,CHRW,0.025
2018-05-31,2018-06-01,BRK-B,0.025
2018-05-31,2018-06-01,CSCO,0.025
2018-05-31,2018-06-01,BLK,0.025
2018-05-31,2018-06-01,COP,0.025
2018-05-31,2018-06-01,BBY,0.025
2018-05-31,2018-06-01,CAT,0.025
2018-05-31,2018-06-01,BA,0.025
2018-05-31,2018-06-01,CBOE,0.025
2018-05-31,2018-06-01,DHI,0.025
2018-05-31,2018-06-01,CTAS,0.025
2018-05-31,2018-06-01,CME,0.025
2018-05-31,2018-06-01,ABBV,0.025
2018-05-31,2018-06-01,CTSH,0.025
2018-05-31,2018-06-01,CBRE,0.025
2018-05-31,2018-06-01,COF,0.025
2018-05-31,2018-06-01,AKAM,0.025
2018-05-31,2018-06-01,AXP,0.025
2018-05-31,2018-06-01,BDX,0.025
2018-05-31,2018-06-01,CVX,0.025
2018-05-31,2018-06-01,DLTR,0.025
2018-05-31,2018-06-01,CFG,0.025
2018-05-31,2018-06-01,AFL,0.025
2018-05-31,2018-06-01,DHR,0.025
2018-05-31,2018-06-01,BAX,0.025
2018-05-31,2018-06-01,ADP,0.025
2018-05-31,2018-06-01,BNY,0.025
2018-06-29,2018-07-02,CF,0.025
2018-06-29,2018-07-02,CNC,0.025
2018-06-29,2018-07-02,AVY,0.025
2018-06-29,2018-07-02,ADBE,0.025
2018-06-29,2018-07-02,CRM,0.025
2018-06-29,2018-07-02,BAC,0.025
2018-06-29,2018-07-02,ABT,0.025
2018-06-29,2018-07-02,ACN,0.025
2018-06-29,2018-07-02,CVX,0.025
