asof,portfolio_id,event,side,symbol,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights
2008-11-03,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 850.2741464967143, 'IEF': 690.2358321252341}",,,,,,,99237.80863019102,0.27948940971009506,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000238506828327, 'SPY': 0.5999733329570162}"
2008-12-01,traditional_60_40_ief,FILL,SELL,IEF,-69.80551703944604,62.54045067352623,4365.66849514547,1.0,2.182834247572735,0.4,620.430315085788,,,,
2008-12-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,68.84758555672471,63.31727186194935,4359.241291733956,1.0,2.179620645866978,0.6,919.227654065301,,,,
2008-12-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 919.121732053439, 'IEF': 620.430315085788}",,,,,,,96998.61633756422,0.3442379277839791,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000262373016592, 'SPY': 0.5999702138031009}"
2009-01-02,traditional_60_40_ief,FILL,SELL,IEF,-0.4811589802433218,65.23628633242568,31.38902500657129,1.0,0.015694512503285647,0.4,619.9491561055447,,,,
2009-01-02,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,0.45022228419264293,65.96845185074008,29.700467076892583,1.0,0.014850233538446292,0.6,919.6027690043463,,,,
2009-01-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 919.5719543376316, 'IEF': 619.9491561055447}",,,,,,,101105.92110337141,0.0022511114209571303,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40000803333661916, 'SPY': 0.5999919443984986}"
2009-02-02,traditional_60_40_ief,FILL,SELL,IEF,-23.38982925078585,62.7841452376806,1468.510436765889,1.0,0.7342552183829444,0.4,596.5593268547589,,,,
2009-02-02,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,24.62115662934017,59.4985397110614,1464.9228654430588,1.0,0.7324614327215294,0.6,944.2534455979003,,,,
2009-02-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 944.1931109669717, 'IEF': 596.5593268547589}",,,,,,,93632.70183370427,0.12310578314668419,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000148098541779, 'SPY': 0.5999838753724498}"
2009-03-02,traditional_60_40_ief,FILL,SELL,IEF,-37.77058488735997,62.3995796438581,2356.8686198739215,1.0,1.1784343099369607,0.4,558.7887419673989,,,,
2009-03-02,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,44.47134308510705,52.897316880359035,2352.414727268071,1.0,1.1762073636340356,0.6,988.7509801494108,,,,
2009-03-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 988.6644540520788, 'IEF': 558.7887419673989}",,,,,,,87166.10187954138,0.2223567154255761,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.400019983188784, 'SPY': 0.5999774658572254}"
2009-04-01,traditional_60_40_ief,FILL,SELL,SPY,-21.725090175780565,57.69104792147007,1253.3432184292153,1.0,0.6266716092146076,0.6,966.9393638762982,,,,
